type,q,alpha,alpha_std,alpha_fmt,beta,beta_std,beta_fmt
5R5X,0.5,0.158061366251893,0.0107802793787915,0.1581(108),-5.89059565026845,0.201103504128371,-5.89(20)
7R7X,0.5,0.233891567372775,0.0248831663943209,0.2339(249),-6.52686439513608,0.464189450001824,-6.53(46)
