prefix,thld_delta,thld_max,instance,tau_star_val,succ_trials,total_trials,Ps_hat,TTS_at_tau_star
kRkX_n12,0.0004,28.0,1,53,6,200,0.03,8013.144136461897
kRkX_n12,0.0004,28.0,2,53,0,200,0.0,inf
kRkX_n12,0.0004,28.0,3,53,0,200,0.0,inf
kRkX_n12,0.0004,28.0,4,53,0,200,0.0,inf
kRkX_n12,0.0004,28.0,5,53,2,200,0.01,24285.16055732959
kRkX_n12,0.0004,28.0,6,53,0,200,0.0,inf
kRkX_n12,0.0004,28.0,7,53,6,200,0.03,8013.144136461897
kRkX_n12,0.0004,28.0,8,53,3,200,0.015,16149.256911204931
kRkX_n12,0.0004,28.0,9,53,0,200,0.0,inf
kRkX_n12,0.0004,28.0,10,53,5,200,0.025,9640.40883826991
kRkX_n12,0.0004,28.0,11,53,7,200,0.035,6850.781790858157
kRkX_n12,0.0004,28.0,12,53,0,200,0.0,inf
kRkX_n12,0.0004,28.0,13,53,3,200,0.015,16149.256911204931
kRkX_n12,0.0004,28.0,14,53,2,200,0.01,24285.16055732959
kRkX_n12,0.0004,28.0,15,53,4,200,0.02,12081.253072736035
kRkX_n12,0.0004,28.0,16,53,6,200,0.03,8013.144136461897
kRkX_n12,0.0004,28.0,17,53,0,200,0.0,inf
kRkX_n12,0.0004,28.0,18,53,0,200,0.0,inf
kRkX_n12,0.0004,28.0,19,53,6,200,0.03,8013.144136461897
kRkX_n12,0.0004,28.0,20,53,4,200,0.02,12081.253072736035
kRkX_n12,0.0004,28.0,21,53,7,200,0.035,6850.781790858157
kRkX_n12,0.0004,28.0,22,53,0,200,0.0,inf
kRkX_n12,0.0004,28.0,23,53,0,200,0.0,inf
kRkX_n12,0.0004,28.0,24,53,6,200,0.03,8013.144136461897
kRkX_n12,0.0004,28.0,25,53,5,200,0.025,9640.40883826991
kRkX_n12,0.0004,28.0,26,53,5,200,0.025,9640.40883826991
kRkX_n12,0.0004,28.0,27,53,5,200,0.025,9640.40883826991
kRkX_n12,0.0004,28.0,28,53,3,200,0.015,16149.256911204931
kRkX_n12,0.0004,28.0,29,53,4,200,0.02,12081.253072736035
kRkX_n12,0.0004,28.0,30,53,0,200,0.0,inf
kRkX_n12,0.0004,28.0,31,53,0,200,0.0,inf
kRkX_n12,0.0004,28.0,32,53,0,200,0.0,inf
kRkX_n12,0.0004,28.0,33,53,2,200,0.01,24285.16055732959
kRkX_n12,0.0004,28.0,34,53,7,200,0.035,6850.781790858157
kRkX_n12,0.0004,28.0,35,53,2,200,0.01,24285.16055732959
kRkX_n12,0.0004,28.0,36,53,8,200,0.04,5978.983210540179
kRkX_n12,0.0004,28.0,37,53,6,200,0.03,8013.144136461897
kRkX_n12,0.0004,28.0,38,53,4,200,0.02,12081.253072736035
kRkX_n12,0.0004,28.0,39,53,7,200,0.035,6850.781790858157
kRkX_n12,0.0004,28.0,40,53,7,200,0.035,6850.781790858157
kRkX_n12,0.0004,28.0,41,53,9,200,0.045,5300.893620338566
kRkX_n12,0.0004,28.0,42,53,3,200,0.015,16149.256911204931
kRkX_n12,0.0004,28.0,43,53,0,200,0.0,inf
kRkX_n12,0.0004,28.0,44,53,0,200,0.0,inf
kRkX_n12,0.0004,28.0,45,53,7,200,0.035,6850.781790858157
kRkX_n12,0.0004,28.0,46,53,0,200,0.0,inf
kRkX_n12,0.0004,28.0,47,53,0,200,0.0,inf
kRkX_n12,0.0004,28.0,48,53,6,200,0.03,8013.144136461897
kRkX_n12,0.0004,28.0,49,53,11,200,0.055,4314.521890631026
kRkX_n12,0.0004,28.0,50,53,8,200,0.04,5978.983210540179
kRkX_n12,0.0004,28.0,51,53,3,200,0.015,16149.256911204931
kRkX_n12,0.0004,28.0,52,53,0,200,0.0,inf
kRkX_n12,0.0004,28.0,53,53,2,200,0.01,24285.16055732959
kRkX_n12,0.0004,28.0,54,53,0,200,0.0,inf
kRkX_n12,0.0004,28.0,55,53,0,200,0.0,inf
kRkX_n12,0.0004,28.0,56,53,1,200,0.005,48692.665008985015
kRkX_n12,0.0004,28.0,57,53,0,200,0.0,inf
kRkX_n12,0.0004,28.0,58,53,2,200,0.01,24285.16055732959
kRkX_n12,0.0004,28.0,59,53,0,200,0.0,inf
kRkX_n12,0.0004,28.0,60,53,4,200,0.02,12081.253072736035
kRkX_n12,0.0004,28.0,61,53,9,200,0.045,5300.893620338566
kRkX_n12,0.0004,28.0,62,53,7,200,0.035,6850.781790858157
kRkX_n12,0.0004,28.0,63,53,7,200,0.035,6850.781790858157
