prefix,thld_delta,thld_max,tau_star_val,median_TTS_val
kRkX_n12,0.0006,28,149,18034.29231
kRkX_n12,0.0008,28,17,15618.40198
kRkX_n12,0.002,28,46,21077.68652
kRkX_n12,0.004,28,72,21938.61316
kRkX_n18,0.0006,28,6401,967776.1437
kRkX_n18,0.0008,28,1565,717099.5523
kRkX_n18,0.002,28,950,872793.052
kRkX_n18,0.004,28.0,1132,1040001.8262296423
kRkX_n24,3.00E-05,28,222165,10883462.49
kRkX_n24,5.00E-05,28,156873,10007725.97
kRkX_n24,7.00E-05,28,109453,12547521.97
