prefix,thld_delta,thld_max,instance,tau_star_val,succ_trials,total_trials,Ps_hat,TTS_at_tau_star
kRkX_n12,0.0006,28.0,78,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,79,149,17,200,0.085,7724.428487248317
kRkX_n12,0.0006,28.0,80,149,9,200,0.045,14902.512253404646
kRkX_n12,0.0006,28.0,81,149,7,200,0.035,19259.745034676707
kRkX_n12,0.0006,28.0,82,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,83,149,11,200,0.055,12129.50493781175
kRkX_n12,0.0006,28.0,84,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,85,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,86,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,87,149,15,200,0.075,8801.395467261302
kRkX_n12,0.0006,28.0,88,149,10,200,0.05,13377.38910914574
kRkX_n12,0.0006,28.0,89,149,10,200,0.05,13377.38910914574
kRkX_n12,0.0006,28.0,90,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,91,149,10,200,0.05,13377.38910914574
kRkX_n12,0.0006,28.0,92,149,14,200,0.07,9455.199212082607
kRkX_n12,0.0006,28.0,93,149,10,200,0.05,13377.38910914574
kRkX_n12,0.0006,28.0,94,149,12,200,0.06,11089.549586431918
kRkX_n12,0.0006,28.0,95,149,8,200,0.04,16808.839591895972
kRkX_n12,0.0006,28.0,96,149,8,200,0.04,16808.839591895972
kRkX_n12,0.0006,28.0,97,149,8,200,0.04,16808.839591895972
kRkX_n12,0.0006,28.0,98,149,11,200,0.055,12129.50493781175
kRkX_n12,0.0006,28.0,99,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,100,149,0,200,0.0,inf
kRkX_n12,0.0008,28.0,1,17,2,200,0.01,7789.579801407603
kRkX_n12,0.0008,28.0,2,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,3,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,4,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,5,17,0,200,0.0,inf
