prefix,thld_delta,thld_max,instance,tau_star_val,succ_trials,total_trials,Ps_hat,TTS_at_tau_star
3R3X_n112,0.0001,20.0,77,136339,45,200,0.225,2463253.782340635
3R3X_n112,0.0001,20.0,78,136339,42,200,0.21,2663575.7783693806
3R3X_n112,0.0001,20.0,79,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,80,136339,39,200,0.195,2894544.326350181
3R3X_n112,0.0001,20.0,81,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,82,136339,33,200,0.165,3481876.236369676
3R3X_n112,0.0001,20.0,83,136339,35,200,0.175,3263804.755188768
3R3X_n112,0.0001,20.0,84,136339,63,200,0.315,1659539.5801491083
3R3X_n112,0.0001,20.0,85,136339,33,200,0.165,3481876.236369676
3R3X_n112,0.0001,20.0,86,136339,88,200,0.44,1082863.5221674475
3R3X_n112,0.0001,20.0,87,136339,113,200,0.565,754273.5734572186
3R3X_n112,0.0001,20.0,88,136339,80,200,0.4,1229116.6863529442
3R3X_n112,0.0001,20.0,89,136339,55,200,0.275,1952413.7763264065
3R3X_n112,0.0001,20.0,90,136339,79,200,0.395,1249414.5024913652
3R3X_n112,0.0001,20.0,91,136339,47,199,0.236180904522613,2330392.2064552675
3R3X_n112,0.0001,20.0,92,136339,84,200,0.42,1152621.580662558
3R3X_n112,0.0001,20.0,93,136339,43,200,0.215,2593713.5897983145
3R3X_n112,0.0001,20.0,94,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,95,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,96,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,97,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,98,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,99,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,100,136339,0,200,0.0,inf
3R3X_n112,0.0002,20.0,1,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,2,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,3,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,4,70324,66,200,0.33,808669.4865613256
3R3X_n112,0.0002,20.0,5,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,6,70324,23,200,0.115,2650898.4223088063
3R3X_n112,0.0002,20.0,7,70324,40,200,0.2,1451325.7777429824
3R3X_n112,0.0002,20.0,8,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,9,70324,22,200,0.11,2779055.8875041297
3R3X_n112,0.0002,20.0,10,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,11,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,12,70324,39,200,0.195,1493013.2625752727
3R3X_n112,0.0002,20.0,13,70324,39,200,0.195,1493013.2625752727
3R3X_n112,0.0002,20.0,14,70324,19,200,0.095,3244368.867764571
3R3X_n112,0.0002,20.0,15,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,16,70324,39,200,0.195,1493013.2625752727
3R3X_n112,0.0002,20.0,17,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,18,70324,84,200,0.42,594525.1178203868
3R3X_n112,0.0002,20.0,19,70324,35,200,0.175,1683478.722917836
3R3X_n112,0.0002,20.0,20,70324,31,200,0.155,1922910.467663573
3R3X_n112,0.0002,20.0,21,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,22,70324,29,200,0.145,2067322.7677361807
3R3X_n112,0.0002,20.0,23,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,24,70324,46,200,0.23,1239088.1733120068
3R3X_n112,0.0002,20.0,25,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,26,70324,41,200,0.205,1411662.6180033693
3R3X_n112,0.0002,20.0,27,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,28,70324,42,200,0.21,1373879.1031036484
3R3X_n112,0.0002,20.0,29,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,30,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,31,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,32,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,33,70324,24,200,0.12,2533407.234232135
3R3X_n112,0.0002,20.0,34,70324,35,200,0.175,1683478.722917836
3R3X_n112,0.0002,20.0,35,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,36,70324,47,200,0.235,1208954.2292851612
3R3X_n112,0.0002,20.0,37,70324,30,200,0.15,1992715.489575388
3R3X_n112,0.0002,20.0,38,70324,21,200,0.105,2919403.514154006
3R3X_n112,0.0002,20.0,39,70324,28,200,0.14,2147246.9379769936
3R3X_n112,0.0002,20.0,40,70324,0,200,0.0,inf
